[Wafer Information]
Wafer Number,21
Wafer ID,A14-Q337336-404
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101596-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/28/2024 09:45
End Time,01/28/2024 09:48
Inspection Time,0:03:21
Photo Time,0:04:32
Data Output Time,01/29/2024 12:37

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F16 Die scratch,F58 Fly die
21,A14-Q337336-404,5518,5492,99.528815,26,96,31,9,13,14,29,0

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F13 Pad area damage,F06 Incoming others,F29 Silicon powder,F07 Incoming microlens periphery peeling,F16 Die scratch,F58 Fly die
21,A14-Q337336-404,5518,5512,99.891265,6,36,15,5,6,6,1,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
21,45,50,2188.351836,1055.252664,236053.677888,1
21,45,50,1928.863476,1014.887808,422331.72192,3
21,45,50,397.882152,103.795344,13602.956472,2
21,45,50,2188.351836,1724.155992,87894.47394,1
21,45,50,2107.622124,1686.67434,1059773.527872,3
21,45,50,400.765356,423.830988,57690.028836,2
21,45,64,2188.351836,3768.347628,367383.620088,1
21,45,64,2107.622124,3690.50112,2114559.112824,3
21,45,50,400.765356,426.714192,57632.364756,2
21,45,50,2115.789504,1664.459406,1059609.261565,3
21,45,50,241.475976,1239.001734,32136.383788,63
21,45,50,123.612702,57.49428,1917.520581,63
21,45,50,54.619566,60.368994,1017.518395,63
21,45,50,281.721972,45.995424,1478.984484,1
21,45,50,178.232268,14.37357,865.607198,1
21,45,50,163.858698,14.37357,793.950973,1
21,45,50,86.24142,14.37357,392.676113,1
21,45,50,278.847258,14.37357,1298.410797,1
21,45,50,977.40276,14.37357,4078.672327,1
21,45,50,146.610414,14.37357,584.714796,1
21,45,50,149.485128,14.37357,613.377286,1
21,45,50,1937.557236,980.277474,422811.854986,3
21,45,50,960.154476,770.423352,85242.24526,63
21,45,50,229.97712,17.248284,730.893495,63
21,45,50,126.487416,434.081814,8581.549506,63
21,45,50,103.489704,37.371282,1040.448387,63
21,45,50,655.434792,14.37357,2777.395281,1
21,45,64,2115.789504,3650.88678,2127499.116491,3
21,45,50,186.85641,1170.008598,31769.503916,63
21,45,50,178.232268,238.601262,4382.494721,63
21,45,50,106.364418,14.37357,447.134844,1
23,14,Pass,54.780876,8.649612,155.693016,1
23,58,Pass,86.49612,8.649612,250.838748,1
26,55,Pass,233.539524,8.649612,694.852164,1
30,18,50,37.481652,28.83204,291.203604,3
29,4,Pass,83.612916,8.649612,245.07234,1
29,4,Pass,83.612916,8.649612,245.07234,1
29,4,Pass,86.49612,8.649612,247.955544,1
40,17,Pass,273.90438,8.649612,755.399448,1
43,14,Pass,51.897672,8.649612,155.693016,1
43,14,Pass,273.90438,8.649612,769.815468,1
46,38,Pass,273.90438,8.649612,764.04906,1
50,63,Pass,25.948836,322.918848,1755.871236,2
