[Wafer Information]
Wafer Number,21
Wafer ID,A80-Q335673-352
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,23C02468-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/06/2024 09:30
End Time,01/06/2024 09:33
Inspection Time,0:03:21
Photo Time,0:12:06
Data Output Time,01/06/2024 10:16

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F06 Incoming others,F99 Others,F07 Incoming microlens periphery peeling,F13 Pad area damage
21,A80-Q335673-352,5518,5459,98.930772,59,103,17,76,1,6,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
46,53,50,49.014468,20.182428,285.437196,3
55,33,50,49.014468,20.182428,273.90438,3
57,45,50,43.24806,23.065632,268.137972,3
61,7,50,17.299224,20.182428,98.028936,2
63,19,Pass,273.90438,8.649612,752.516244,1
63,19,Pass,66.313692,8.649612,187.40826,1
64,60,50,40.364856,25.948836,276.787584,3
66,60,50,40.364856,31.715244,354.634092,3
86,50,50,43.24806,23.065632,296.970012,3
86,46,50,40.364856,23.065632,288.3204,3
69,29,Pass,8.624142,2.874714,8.598747,1
80,47,Pass,5.749428,2.874714,5.732498,1
3,22,50,8.624142,77.617278,186.306185,3
3,22,50,8.624142,129.36213,298.089896,3
3,22,50,11.498856,172.48284,372.61237,3
3,22,50,22.997712,112.113846,312.421141,3
3,22,50,11.498856,333.466824,748.090989,3
3,22,50,8.624142,60.368994,137.579952,3
3,22,50,8.624142,63.243708,169.108691,3
3,22,50,11.498856,112.113846,266.561157,3
3,23,50,8.624142,114.98856,286.6249,3
3,23,50,11.498856,140.860986,315.28739,3
3,23,50,22.997712,54.619566,151.911197,3
3,23,50,11.498856,114.98856,272.293655,3
3,23,50,8.624142,83.366706,217.834924,3
3,23,50,8.624142,51.744852,117.516209,3
4,22,50,8.624142,89.116134,186.306185,3
9,37,50,14.37357,155.234556,338.217382,3
9,37,50,8.624142,91.990848,200.63743,3
9,37,50,17.248284,54.619566,137.579952,3
10,16,50,8.624142,54.619566,117.516209,3
12,37,50,8.624142,57.49428,143.31245,3
16,21,50,25.872426,54.619566,154.777446,3
16,21,50,8.624142,71.86785,194.904932,3
16,37,50,5.749428,51.744852,103.184964,3
19,19,50,8.624142,169.608126,407.007358,3
19,19,50,11.498856,330.59211,733.759744,3
19,19,50,34.496568,60.368994,206.369928,3
19,43,50,14.37357,54.619566,123.248707,3
20,19,50,8.624142,63.243708,149.044948,3
26,62,50,8.624142,60.368994,134.713703,3
33,38,50,8.624142,54.619566,123.248707,3
39,44,50,34.496568,48.870138,217.834924,3
39,44,50,14.37357,114.98856,257.96241,3
40,44,50,8.624142,63.243708,171.97494,3
47,26,50,8.624142,51.744852,103.184964,3
60,53,50,11.498856,106.364418,237.898667,3
60,53,50,8.624142,270.223116,596.179792,3
60,53,50,22.997712,57.49428,151.911197,3
60,53,50,8.624142,63.243708,134.713703,3
60,53,50,8.624142,89.116134,229.29992,3
68,55,50,8.624142,51.744852,108.917462,3
69,14,50,43.12071,45.995424,335.351133,3
70,49,50,8.624142,97.740276,197.771181,3
70,55,50,14.37357,112.113846,260.828659,3
71,41,Pass,359.33925,227.102406,2636.94908,1
72,41,Pass,11.498856,209.854122,836.944708,1
72,41,Pass,2187.657354,227.102406,11751.6209,1
73,41,Pass,11.498856,209.854122,836.944708,1
73,41,Pass,569.193372,14.37357,2837.58651,1
71,40,Pass,359.33925,3774.499482,18163.419913,1
72,40,50,2190.532068,3774.499482,50569.231107,1
72,40,50,86.24142,51.744852,1384.398267,63
72,40,50,77.617278,273.09783,7351.928685,63
72,40,50,405.334674,428.332386,58824.028227,3
72,40,50,405.334674,428.332386,58901.41695,3
73,40,Pass,572.068086,3757.251198,17395.265181,1
73,40,Pass,86.24142,48.870138,1367.200773,63
73,40,Pass,77.617278,273.09783,7351.928685,63
73,40,Pass,569.193372,14.37357,2834.720261,1
77,57,50,8.624142,77.617278,166.242442,3
77,46,50,8.624142,57.49428,120.382458,3
78,46,50,11.498856,60.368994,160.509944,3
78,46,50,8.624142,57.49428,126.114956,3
78,46,50,8.624142,66.118422,171.97494,3
80,46,50,8.624142,74.742564,166.242442,3
80,57,50,17.248284,126.487416,280.892402,3
82,57,50,25.872426,66.118422,197.771181,3
82,57,50,14.37357,63.243708,157.643695,3
84,57,50,8.624142,74.742564,192.038683,3
85,12,50,25.872426,54.619566,151.911197,3
85,12,50,8.624142,74.742564,160.509944,3
85,12,50,8.624142,60.368994,126.114956,3
85,12,50,8.624142,57.49428,154.777446,3
85,40,50,8.624142,201.22998,487.26233,3
85,40,50,17.248284,247.225404,696.498507,3
85,40,50,8.624142,54.619566,154.777446,3
85,40,50,25.872426,57.49428,180.573687,3
85,40,50,8.624142,123.612702,289.491149,3
88,30,50,11.498856,109.239132,232.166169,3
90,30,50,14.37357,215.60355,467.198587,3
94,47,50,25.872426,51.744852,123.248707,3
97,47,50,20.122998,63.243708,166.242442,3

