[Wafer Information]
Wafer Number,11
Wafer ID,A30-Q335381-401
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24100101-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/09/2024 10:07
End Time,01/09/2024 10:10
Inspection Time,0:03:22
Photo Time,0:06:06
Data Output Time,01/09/2024 11:26

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling,F06 Incoming others,F16 Die scratch
11,A30-Q335381-401,5518,5460,98.948895,58,91,21,65,2,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
50,52,50,49.014468,25.948836,317.15244,3
53,42,Pass,46.131264,8.649612,135.510588,1
54,42,50,40.364856,8.649612,115.32816,1
56,24,Pass,14.41602,20.182428,74.963304,2
56,38,50,74.963304,23.065632,446.89662,3
60,38,50,51.897672,23.065632,291.203604,3
60,33,50,63.430488,20.182428,363.283704,3
62,43,50,14.41602,20.182428,74.963304,2
63,27,50,43.24806,17.299224,245.07234,3
64,22,50,49.014468,20.182428,279.670788,3
67,53,50,100.91214,23.065632,677.55294,3
68,53,50,54.780876,20.182428,308.502828,3
68,25,Pass,23.065632,8.649612,66.313692,1
70,25,Pass,28.83204,8.649612,77.846508,1
71,42,50,43.24806,23.065632,245.07234,3
81,9,Pass,268.137972,8.649612,766.932264,1
81,9,Pass,271.021176,8.649612,752.516244,1
81,34,50,72.0801,20.182428,409.414968,3
84,38,50,63.430488,23.065632,429.597396,3
85,35,50,86.49612,23.065632,524.743128,3
89,50,50,63.430488,23.065632,394.998948,3
91,25,Pass,80.729712,8.649612,224.889912,1
96,27,50,95.145732,25.948836,622.772064,3
99,43,50,74.963304,23.065632,467.079048,3
15,14,50,60.368994,43.12071,412.739856,3
19,59,Pass,166.733412,250.100118,1071.977126,3
57,53,50,17.248284,155.234556,438.536097,3
57,53,50,14.37357,94.865562,212.102426,3
57,53,50,287.4714,11.498856,707.963503,3
57,53,50,11.498856,60.368994,149.044948,3
57,53,50,77.617278,198.355266,642.039776,3
57,53,50,91.990848,411.084102,1120.703359,3
60,15,50,48.870138,68.993136,533.122314,3
64,65,50,8.624142,57.49428,140.446201,3
64,65,50,212.728836,11.498856,556.052306,3
64,65,50,25.872426,388.08639,1261.14956,3
64,65,50,235.726548,14.37357,541.721061,3
64,45,50,8.624142,344.96568,699.364756,3
64,45,50,11.498856,229.97712,610.511037,3
64,45,50,8.624142,158.10927,326.752386,3
66,49,50,14.37357,100.61499,249.363663,3
66,49,50,8.624142,74.742564,160.509944,3
66,49,50,14.37357,195.480552,481.529832,3
66,49,50,376.587534,408.209388,2502.235377,3
66,49,50,11.498856,143.7357,321.019888,3
66,49,50,60.368994,8.624142,126.114956,3
65,49,50,11.498856,287.4714,811.148467,3
65,49,50,293.220828,17.248284,851.275953,3
67,49,Pass,8.624142,94.865562,203.503679,3
70,58,Pass,8.624142,175.357554,378.344868,3
70,58,Pass,8.624142,261.598974,650.638523,3
69,64,50,166.733412,11.498856,444.268595,3
69,64,50,14.37357,327.717396,934.397174,3
69,64,50,209.854122,359.33925,1748.41189,3
71,58,50,132.236844,22.997712,358.281125,3
71,58,50,163.858698,11.498856,458.59984,3
71,58,50,22.997712,232.851834,802.54972,3
71,58,50,11.498856,63.243708,163.376193,3
81,42,50,14.37357,51.744852,171.97494,3
82,54,Pass,17.248284,382.336962,1129.302106,3
82,54,50,11.498856,74.742564,177.707438,3
82,42,50,14.37357,120.737988,332.484884,3
82,42,50,11.498856,353.589822,1066.244628,3
82,42,50,68.993136,11.498856,151.911197,3
82,42,50,8.624142,281.721972,576.116049,3
83,45,50,11.498856,258.72426,739.492242,3
83,45,50,14.37357,333.466824,1020.384644,3
27,6,Pass,2.874714,5.749428,5.732498,1

