[Wafer Information]
Wafer Number,25
Wafer ID,A37-Q335548-352
Job Name,X2L3QBKL_R_08_05
Model Name,EagleT
Lot Number,23C02087-001
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/05/2024 09:00
End Time,01/05/2024 09:03
Inspection Time,0:03:26
Photo Time,0:06:53
Data Output Time,01/08/2024 07:52

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F99 Others,F13 Pad area damage,F07 Incoming microlens periphery peeling
25,A37-Q335548-352,5518,5427,98.350852,91,147,16,22,1,105,3

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
63,44,50,20.122998,2.874714,20.063743,1
63,44,50,40.245996,5.749428,54.458731,1
63,44,50,8.624142,2.874714,8.598747,1
63,44,50,8.624142,5.749428,17.197494,1
63,44,50,20.122998,2.874714,20.063743,1
63,44,50,8.624142,2.874714,8.598747,1
63,44,50,8.624142,2.874714,8.598747,1
63,44,50,22.997712,2.874714,22.929992,1
63,44,50,8.624142,2.874714,8.598747,1
63,44,50,8.624142,2.874714,8.598747,1
66,12,50,2.874714,8.624142,8.598747,1
66,12,50,2.874714,17.248284,17.197494,1
66,12,50,2.874714,17.248284,17.197494,1
66,12,50,2.874714,17.248284,17.197494,1
65,16,50,11.498856,14.37357,34.394988,1
63,1,50,8.624142,2.874714,8.598747,1
68,9,50,5.749428,11.498856,20.063743,1
74,42,50,2.874714,17.248284,17.197494,1
74,62,50,2.874714,8.624142,8.598747,1
79,48,50,14.37357,5.749428,22.929992,1
86,29,50,11.498856,2.874714,11.464996,1
86,29,50,8.624142,2.874714,8.598747,1
91,32,50,8.624142,8.624142,20.063743,1
100,27,50,8.624142,2.874714,8.598747,1
103,35,50,5.749428,14.37357,17.197494,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F06 Incoming others,F29 Silicon powder,F99 Others,F13 Pad area damage,F07 Incoming microlens periphery peeling
25,A37-Q335548-352,5518,5487,99.438202,31,41,7,22,4,1,7

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
10,42,Pass,17.299224,23.065632,109.561752,2
13,44,50,17.299224,20.182428,95.145732,2
14,56,50,17.299224,23.065632,98.028936,2
27,6,Pass,17.299224,20.182428,89.379324,2
32,32,Pass,14.41602,20.182428,72.0801,2
35,56,Pass,20.182428,20.182428,112.444956,2
35,12,50,51.897672,40.364856,406.531764,3
35,12,50,48.870138,34.496568,364.013623,3
37,52,Pass,20.182428,20.182428,100.91214,2
40,44,Pass,20.182428,17.299224,83.612916,2
42,6,50,14.41602,14.41602,51.897672,1
42,6,50,14.41602,14.41602,57.66408,1
42,6,50,11.498856,11.498856,34.394988,1
42,6,50,14.37357,8.624142,25.796241,1
41,30,50,20.182428,8.649612,46.131264,1
41,30,50,31.621854,11.498856,123.248707,1
41,30,50,31.621854,28.74714,235.032418,1
43,10,Pass,11.532816,23.065632,74.963304,2
43,55,Pass,17.299224,20.182428,86.49612,2
49,7,Pass,11.532816,8.649612,31.715244,4
51,7,50,60.547284,20.182428,397.882152,3
51,7,50,66.118422,17.248284,335.351133,3
52,38,50,51.897672,20.182428,317.15244,3
52,38,50,51.744852,11.498856,154.777446,3
53,35,50,5.766408,17.299224,34.598448,4
56,64,Pass,11.532816,11.532816,28.83204,4
62,52,Pass,17.299224,20.182428,89.379324,2
61,16,Pass,20.182428,17.299224,86.49612,2
68,35,50,54.780876,23.065632,328.685256,3
68,35,50,60.368994,17.248284,283.758651,3
75,3,Pass,20.182428,25.948836,126.860976,2
75,30,50,46.131264,23.065632,294.086808,3
75,30,50,51.744852,17.248284,249.363663,3
90,35,Pass,17.299224,20.182428,77.846508,2
93,26,Pass,17.299224,20.182428,89.379324,2
92,44,Pass,17.299224,17.299224,92.262528,2
12,32,50,66.118422,11.498856,177.707438,3
15,32,50,51.744852,8.624142,131.847454,3
32,38,50,66.118422,11.498856,203.503679,3
35,21,50,60.368994,14.37357,249.363663,3
36,23,50,77.617278,14.37357,235.032418,3
41,63,50,51.744852,14.37357,120.382458,3
48,35,50,54.619566,14.37357,214.968675,3
56,23,50,51.744852,14.37357,169.108691,3
57,54,50,63.243708,11.498856,192.038683,3
59,22,50,66.118422,8.624142,166.242442,3
61,58,50,34.496568,94.865562,599.046041,3
67,44,50,60.368994,14.37357,240.764916,3
72,30,50,57.49428,11.498856,163.376193,3
10,47,Pass,5.749428,48.870138,51.592482,1
12,46,50,5.749428,11.498856,17.197494,1
13,48,Pass,2.874714,14.37357,14.331245,1
13,30,50,11.498856,14.37357,28.66249,1
15,48,Pass,11.498856,2.874714,11.464996,1
15,47,Pass,2.874714,43.12071,42.993735,1
15,47,50,8.624142,11.498856,25.796241,1
18,25,Pass,2.874714,25.872426,25.796241,1
18,25,Pass,2.874714,11.498856,11.464996,1
18,28,Pass,11.498856,2.874714,11.464996,1
18,28,Pass,45.995424,2.874714,45.859984,1
18,28,Pass,37.371282,2.874714,37.261237,1
18,28,Pass,28.74714,2.874714,28.66249,1
18,28,Pass,28.74714,2.874714,28.66249,1
18,28,Pass,25.872426,2.874714,25.796241,1
20,14,Pass,8.624142,2.874714,8.598747,1
20,14,Pass,8.624142,2.874714,8.598747,1
21,45,Pass,8.624142,2.874714,8.598747,1
21,45,Pass,11.498856,2.874714,11.464996,1
21,45,Pass,11.498856,2.874714,11.464996,1
21,45,Pass,14.37357,2.874714,14.331245,1
21,45,Pass,8.624142,2.874714,8.598747,1
21,45,Pass,8.624142,2.874714,8.598747,1
21,45,Pass,11.498856,2.874714,11.464996,1
21,28,Pass,8.624142,2.874714,8.598747,1
23,29,Pass,14.37357,2.874714,14.331245,1
25,33,Pass,2.874714,11.498856,11.464996,1
26,13,Pass,8.624142,2.874714,8.598747,1
30,57,Pass,17.248284,2.874714,17.197494,1
31,26,Pass,2.874714,11.498856,11.464996,1
34,30,50,8.624142,11.498856,22.929992,1
33,35,Pass,8.624142,2.874714,8.598747,1
33,55,Pass,14.37357,2.874714,14.331245,1
