[Wafer Information]
Wafer Number,19
Wafer ID,A37-Q335405-403
Job Name,X2L3QBJL_R_08_05
Model Name,EagleT
Lot Number,24101458-001a
Description,
Wafer Size(mm),200
Die Size XY(um),X,1345.33,Y,2274.899
Chip Num. XY,X,68,Y,104
Wafer Thickness(um),0

[INSP]
Start Time,01/25/2024 05:29
End Time,01/25/2024 05:32
Inspection Time,0:03:21
Photo Time,0:03:45
Data Output Time,01/25/2024 06:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F07 Incoming microlens periphery peeling
19,A37-Q335405-403,5518,5462,98.98514,56,81,64,17

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
47,14,Pass,80.729712,8.649612,224.889912,1
48,33,50,51.897672,28.83204,383.466132,3
50,62,50,17.299224,8.649612,43.24806,1
52,36,50,40.364856,28.83204,265.254768,3
53,28,Pass,28.83204,8.649612,74.963304,1
54,44,50,57.66408,23.065632,348.867684,3
53,0,50,40.364856,43.24806,444.013416,3
57,16,Pass,89.379324,8.649612,236.422728,1
56,22,Pass,268.137972,8.649612,712.151388,1
59,61,Pass,273.90438,8.649612,810.180324,1
59,61,Pass,271.021176,8.649612,810.180324,1
61,34,Pass,268.137972,8.649612,775.581876,1
60,30,Pass,83.612916,8.649612,227.773116,1
60,41,50,51.897672,20.182428,288.3204,3
67,44,Pass,268.137972,8.649612,804.413916,1
67,44,Pass,216.2403,8.649612,640.071288,1
68,42,50,40.364856,23.065632,245.07234,3
69,42,50,60.547284,17.299224,334.451664,3
70,64,Pass,273.90438,8.649612,772.698672,1
70,64,Pass,34.598448,8.649612,98.028936,1
72,40,50,43.24806,20.182428,239.305932,3
73,43,Pass,271.021176,8.649612,772.698672,1
73,43,Pass,271.021176,8.649612,787.114692,1
81,30,Pass,80.729712,8.649612,230.65632,1
81,28,Pass,86.49612,8.649612,236.422728,1
81,28,Pass,54.780876,8.649612,144.1602,1
81,28,Pass,77.846508,8.649612,222.006708,1
81,28,Pass,86.49612,8.649612,245.07234,1
81,28,Pass,83.612916,8.649612,227.773116,1
83,25,Pass,72.0801,8.649612,196.057872,1
83,48,50,49.014468,23.065632,320.035644,3
84,52,Pass,14.41602,8.649612,40.364856,1
84,52,Pass,80.729712,8.649612,222.006708,1
87,51,Pass,80.729712,8.649612,224.889912,1
87,44,Pass,273.90438,8.649612,813.063528,1
87,44,Pass,271.021176,8.649612,807.29712,1
87,44,Pass,271.021176,8.649612,804.413916,1
87,57,Pass,1565.579772,8.649612,4414.185324,1
94,43,Pass,181.641852,8.649612,542.042352,1
94,43,Pass,268.137972,8.649612,789.997896,1
95,43,Pass,271.021176,8.649612,735.21702,1
99,22,Pass,268.137972,8.649612,715.034592,1
1,37,Pass,11.498856,94.865562,214.968675,3
43,36,Pass,20.122998,91.990848,232.166169,3
44,24,Pass,37.371282,51.744852,329.618635,3
100,35,Pass,20.122998,80.491992,200.63743,3
32,2,Pass,22.997712,2.874714,22.929992,1
34,4,Pass,40.245996,5.749428,48.726233,1

