[Wafer Information]
Wafer Number,13
Wafer ID,Q333560-18G5
Job Name,X2L3QBJL_S_12_P5
Model Name,EagleT
Lot Number,24100434-001
Description,
Wafer Size(mm),300
Die Size XY(um),X,1347.725,Y,2276.465
Chip Num. XY,X,209,Y,125
Wafer Thickness(um),0

[INSP]
Start Time,01/08/2024 08:01
End Time,01/08/2024 08:08
Inspection Time,0:06:44
Photo Time,0:08:43
Data Output Time,01/08/2024 09:07

[Before Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
13,Q333560-18G5,19272,19128,99.252802,144,173,172,1

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
157,80,50,11.505648,5.752824,14.34818,1
159,15,50,14.38206,8.629236,34.435632,1
163,73,50,11.505648,2.876412,11.478544,1
162,70,50,46.022592,2.876412,45.914176,1
165,43,50,5.752824,14.38206,22.957088,1
168,80,50,23.011296,2.876412,22.957088,1
168,108,50,2.876412,14.38206,14.34818,1
178,52,50,8.629236,20.134884,43.04454,1
178,52,50,8.629236,5.752824,11.478544,1
178,47,50,5.752824,20.134884,25.826724,1
178,47,50,5.752824,17.258472,22.957088,1
178,47,50,8.629236,17.258472,34.435632,1
178,47,50,8.629236,17.258472,37.305268,1
178,91,50,8.629236,31.640532,48.783812,1
178,43,50,8.629236,2.876412,8.608908,1
178,30,50,5.752824,60.404652,66.001628,1
186,46,50,8.629236,5.752824,11.478544,1
197,76,50,5.752824,8.629236,14.34818,1

[After Review]
Wafer Number,Wafer ID,Total,Good,Yield(%),NG Total,Defect,F29 Silicon powder,F13 Pad area damage,F07 Incoming microlens periphery peeling
13,Q333560-18G5,19272,19234,99.802823,38,49,14,1,34

[Defect List]
X,Y,DefectMode,Size X,Size Y,Area,Area No
16,37,50,46.131264,37.481652,467.079048,3
24,59,Pass,8.649612,152.809812,449.779824,1
24,26,Pass,8.649612,149.926608,444.013416,1
26,102,50,60.547284,23.065632,392.115744,3
29,103,Pass,224.889912,8.649612,608.356044,1
33,35,Pass,11.532816,20.182428,63.430488,1
33,35,Pass,11.505648,23.011296,74.610536,1
47,24,Pass,8.649612,83.612916,227.773116,1
52,92,Pass,54.780876,8.649612,138.393792,1
52,103,Pass,54.780876,8.649612,135.510588,1
52,81,Pass,54.780876,11.532816,170.109036,1
51,26,Pass,268.137972,8.649612,755.399448,1
51,15,Pass,268.137972,8.649612,735.21702,1
56,93,Pass,28.83204,8.649612,74.963304,1
56,93,Pass,11.532816,8.649612,28.83204,1
71,118,50,80.729712,11.532816,247.955544,1
71,118,50,60.547284,23.065632,397.882152,3
75,98,Pass,49.014468,8.649612,132.627384,1
90,48,Pass,8.649612,149.926608,446.89662,1
90,37,Pass,8.649612,149.926608,446.89662,1
90,59,Pass,8.649612,149.926608,449.779824,1
90,92,Pass,8.649612,149.926608,394.998948,1
94,75,Pass,80.729712,11.532816,236.422728,1
94,75,Pass,80.729712,11.532816,279.670788,1
94,86,Pass,77.846508,8.649612,224.889912,1
94,64,Pass,60.547284,8.649612,170.109036,1
95,119,50,49.014468,34.598448,389.23254,3
118,103,Pass,57.66408,11.532816,201.82428,1
117,92,Pass,37.481652,8.649612,100.91214,1
118,114,Pass,51.897672,8.649612,132.627384,1
117,48,Pass,271.021176,11.532816,772.698672,1
117,48,Pass,268.137972,11.532816,729.450612,1
117,48,Pass,126.860976,8.649612,348.867684,1
117,59,Pass,271.021176,8.649612,738.100224,1
117,37,Pass,268.137972,8.649612,775.581876,1
117,37,Pass,268.137972,11.532816,720.801,1
117,15,Pass,118.211364,8.649612,320.035644,1
117,15,Pass,8.629236,5.752824,14.34818,1
117,104,Pass,23.065632,8.649612,66.313692,1
119,60,50,37.481652,46.131264,337.334868,3
124,117,50,46.131264,23.065632,294.086808,3
132,116,50,40.364856,20.182428,224.889912,3
133,81,Pass,8.649612,8.649612,23.065632,1
133,81,Pass,8.649612,8.649612,23.065632,1
137,115,Pass,28.83204,8.649612,69.196896,1
137,100,Pass,77.846508,11.532816,224.889912,1
137,113,Pass,23.065632,11.532816,72.0801,1
136,11,Pass,8.649612,80.729712,230.65632,1
136,22,Pass,8.649612,80.729712,239.305932,1
141,87,Pass,89.379324,11.532816,276.787584,1
138,81,Pass,123.977772,8.649612,322.918848,1
140,48,Pass,43.24806,8.649612,115.32816,1
140,15,Pass,54.780876,11.532816,164.342628,1
140,37,Pass,57.66408,8.649612,144.1602,1
140,26,Pass,57.66408,8.649612,144.1602,1
141,62,50,74.963304,23.065632,469.962252,3
144,16,Pass,28.83204,8.649612,86.49612,1
156,108,Pass,144.1602,11.532816,432.4806,1
156,108,Pass,31.715244,8.649612,89.379324,1
156,107,Pass,8.649612,80.729712,233.539524,1
156,81,Pass,8.649612,149.926608,449.779824,1
156,92,Pass,8.649612,152.809812,452.663028,1
156,70,Pass,8.649612,149.926608,444.013416,1
156,97,50,51.897672,34.598448,423.830988,3
160,97,Pass,80.729712,11.532816,305.619624,1
160,108,Pass,80.729712,11.532816,256.605156,1
160,108,Pass,80.729712,11.532816,308.502828,1
160,108,Pass,80.729712,11.532816,314.269236,1
160,106,Pass,167.225832,11.532816,556.458372,1
160,106,Pass,77.846508,11.532816,262.371564,1
160,107,Pass,167.225832,11.532816,504.5607,1
160,103,Pass,8.649612,11.532816,31.715244,1
159,16,Pass,28.83204,11.532816,74.963304,1
160,104,Pass,271.021176,8.649612,792.8811,1
160,104,Pass,268.137972,8.649612,801.530712,1
166,104,50,37.481652,46.131264,369.050112,3
179,97,Pass,54.780876,11.532816,184.525056,1
178,26,Pass,8.649612,149.926608,444.013416,1
183,96,Pass,80.729712,11.532816,236.422728,1
183,92,Pass,268.137972,8.649612,778.46508,1
183,92,Pass,268.137972,8.649612,732.333816,1
183,92,Pass,268.137972,11.532816,717.917796,1
182,31,Pass,77.846508,8.649612,222.006708,1
183,81,Pass,268.137972,8.649612,729.450612,1
183,81,Pass,123.977772,8.649612,322.918848,1
183,59,Pass,268.137972,8.649612,709.268184,1
183,48,Pass,92.262528,11.532816,279.670788,1
183,70,Pass,268.137972,11.532816,792.8811,1
183,70,Pass,250.838748,11.532816,694.852164,1
183,50,Pass,80.729712,8.649612,201.82428,1
194,36,50,66.313692,31.715244,516.093516,3
196,80,50,89.379324,43.24806,738.100224,3
205,62,50,60.547284,28.83204,449.779824,3
5,81,Pass,66.157476,48.899004,548.100476,3
10,48,Pass,28.76412,48.899004,232.440516,3
45,100,Pass,20.134884,57.52824,304.181416,3
68,105,Pass,28.76412,51.775416,332.877776,3
192,74,Pass,60.404652,46.022592,309.920688,3
198,76,50,37.393356,54.651828,381.661588,3
5,68,Pass,11.505648,8.629236,25.826724,1
11,43,Pass,5.752824,8.629236,17.217816,1
16,31,Pass,14.38206,11.505648,54.523084,1
20,29,Pass,23.011296,14.38206,68.871264,1
25,24,Pass,5.752824,8.629236,11.478544,1
31,99,Pass,8.629236,14.38206,31.565996,1
30,27,50,8.629236,11.505648,22.957088,1
31,29,50,17.258472,5.752824,34.435632,1
31,29,50,8.629236,2.876412,8.608908,1
49,11,Pass,8.629236,11.505648,28.69636,1
56,117,Pass,8.629236,25.887708,43.04454,1
62,9,Pass,25.887708,14.38206,71.7409,1
66,45,Pass,14.38206,5.752824,25.826724,1
73,71,50,11.505648,11.505648,40.174904,1
74,82,50,11.505648,8.629236,14.34818,1
74,82,50,5.752824,11.505648,17.217816,1
72,81,50,11.505648,8.629236,25.826724,1
73,38,50,5.752824,11.505648,14.34818,1
76,31,Pass,2.876412,11.505648,11.478544,1
77,100,Pass,2.876412,20.134884,20.087452,1
78,97,Pass,2.876412,8.629236,8.608908,1
78,86,Pass,5.752824,8.629236,11.478544,1
78,69,Pass,2.876412,11.505648,11.478544,1
78,27,Pass,2.876412,8.629236,8.608908,1
88,123,Pass,2.876412,11.505648,11.478544,1
93,68,Pass,5.752824,8.629236,11.478544,1
93,70,Pass,8.629236,2.876412,8.608908,1
95,43,Pass,11.505648,5.752824,17.217816,1
95,43,Pass,11.505648,2.876412,11.478544,1
97,62,50,20.134884,2.876412,20.087452,1
97,62,50,11.505648,2.876412,11.478544,1
97,7,50,17.258472,8.629236,51.653448,1
97,7,50,11.505648,8.629236,22.957088,1
102,76,Pass,17.258472,11.505648,57.39272,1
112,69,50,8.629236,14.38206,25.826724,1
111,69,50,8.629236,11.505648,20.087452,1
112,85,50,2.876412,48.899004,48.783812,1
112,25,50,8.629236,28.76412,63.131992,1
112,3,50,2.876412,8.629236,8.608908,1
112,14,50,2.876412,8.629236,8.608908,1
121,30,Pass,8.629236,5.752824,11.478544,1
133,113,Pass,20.134884,60.404652,189.395976,1
134,80,50,2.876412,8.629236,8.608908,1
138,118,Pass,2.876412,17.258472,17.217816,1
136,43,Pass,11.505648,5.752824,20.087452,1
140,93,50,8.629236,11.505648,20.087452,1
139,96,Pass,8.629236,2.876412,8.608908,1
141,106,50,20.134884,5.752824,40.174904,1
152,111,Pass,8.629236,5.752824,17.217816,1
153,109,Pass,11.505648,14.38206,34.435632,1
149,28,Pass,8.629236,8.629236,14.34818,1
156,36,50,8.629236,25.887708,45.914176,1
156,36,50,2.876412,17.258472,17.217816,1
156,36,50,5.752824,17.258472,22.957088,1
156,30,50,2.876412,17.258472,17.217816,1
156,52,50,5.752824,54.651828,60.262356,1
157,80,Pass,11.505648,5.752824,14.34818,1
159,15,Pass,14.38206,8.629236,34.435632,1
163,73,Pass,11.505648,2.876412,11.478544,1
162,70,Pass,46.022592,2.876412,45.914176,1
165,43,Pass,5.752824,14.38206,22.957088,1
168,80,Pass,23.011296,2.876412,22.957088,1
168,108,Pass,2.876412,14.38206,14.34818,1
178,52,50,8.629236,20.134884,43.04454,1
178,52,50,8.629236,5.752824,11.478544,1
178,47,50,5.752824,20.134884,25.826724,1
178,47,50,5.752824,17.258472,22.957088,1
178,47,50,8.629236,17.258472,34.435632,1
178,47,50,8.629236,17.258472,37.305268,1
178,91,50,8.629236,31.640532,48.783812,1
178,43,Pass,8.629236,2.876412,8.608908,1
178,30,50,5.752824,60.404652,66.001628,1
186,46,Pass,8.629236,5.752824,11.478544,1
197,76,Pass,5.752824,8.629236,14.34818,1

